Child_Term,Parent_Term,Relation
GO:0031305,GO:0032592,is_a
GO:0031305,GO:0031304,is_a
GO:0001405,GO:0005744,part_of
GO:0001405,GO:0044455,is_a
GO:0001405,GO:0043234,is_a
GO:0097002,GO:0005743,part_of
GO:0097002,GO:0044455,is_a
GO:0042721,GO:0005743,part_of
GO:0042721,GO:0044455,is_a
GO:0042721,GO:0043234,is_a
GO:0042720,GO:0005743,part_of
GO:0042720,GO:0044455,is_a
GO:0042720,GO:0043234,is_a
GO:0031942,GO:0005743,part_of
GO:0031942,GO:0044455,is_a
GO:0031942,GO:0043234,is_a
GO:0031314,GO:0031312,is_a
GO:0031314,GO:0005743,part_of
GO:0031314,GO:0044455,is_a
GO:0031304,GO:0031300,is_a
GO:0031304,GO:0005743,part_of
GO:0031304,GO:0044455,is_a
GO:0030061,GO:0005743,part_of
GO:0030061,GO:0044455,is_a
GO:0005746,GO:0070469,is_a
GO:0005746,GO:0005743,part_of
GO:0005746,GO:0044455,is_a
GO:0005744,GO:0005743,part_of
GO:0005744,GO:0044455,is_a
GO:0005744,GO:0043234,is_a
GO:0031307,GO:0032592,is_a
GO:0031307,GO:0031300,is_a
GO:0031307,GO:0005741,part_of
GO:0031307,GO:0044455,is_a
GO:0031315,GO:0031312,is_a
GO:0031315,GO:0005741,part_of
GO:0031315,GO:0044455,is_a
GO:0005742,GO:0005741,part_of
GO:0005742,GO:0044455,is_a
GO:0005742,GO:0043234,is_a
GO:0001401,GO:0005741,part_of
GO:0001401,GO:0044455,is_a
GO:0001401,GO:0043234,is_a
GO:0005743,GO:0031966,is_a
GO:0005743,GO:0019866,is_a
GO:0032865,GO:0044232,part_of
GO:0032865,GO:0005789,part_of
GO:0032865,GO:0005741,part_of
GO:0032865,GO:0044455,part_of
GO:0032865,GO:0031966,part_of
GO:0032865,GO:0044432,part_of
GO:0032865,GO:0043234,is_a
GO:0005741,GO:0031966,is_a
GO:0005741,GO:0031968,is_a
GO:0044455,GO:0031966,part_of
GO:0044455,GO:0044429,is_a
GO:0044455,GO:0044425,is_a
GO:0030678,GO:0030677,is_a
GO:0030678,GO:0044429,is_a
GO:0005962,GO:0005759,part_of
GO:0005962,GO:0045239,is_a
GO:0005962,GO:0044429,is_a
GO:0042645,GO:0043232,is_a
GO:0042645,GO:0005759,part_of
GO:0042645,GO:0044429,is_a
GO:0017087,GO:0005759,part_of
GO:0017087,GO:0044429,is_a
GO:0017087,GO:0043234,is_a
GO:0005760,GO:0005759,part_of
GO:0005760,GO:0044429,is_a
GO:0005760,GO:0042575,is_a
GO:0005759,GO:0044429,is_a
GO:0005759,GO:0070013,is_a
GO:0042719,GO:0005758,part_of
GO:0042719,GO:0044429,is_a
GO:0042719,GO:0043234,is_a
GO:0044284,GO:0005743,part_of
GO:0044284,GO:0044429,is_a
GO:0031966,GO:0031090,is_a
GO:0031966,GO:0005740,part_of
GO:0031966,GO:0044429,is_a
GO:0005758,GO:0005740,part_of
GO:0005758,GO:0044429,is_a
GO:0005758,GO:0031970,is_a
GO:0005740,GO:0031967,is_a
GO:0005740,GO:0044429,is_a
GO:0048471,GO:0044444,is_a
GO:0071563,GO:0044444,is_a
GO:0071563,GO:0043234,is_a
GO:0071513,GO:0044444,is_a
GO:0071513,GO:0043234,is_a
GO:0070939,GO:0044444,is_a
GO:0070939,GO:0043234,is_a
GO:0055087,GO:0044444,is_a
GO:0055087,GO:0043234,is_a
GO:0045239,GO:0044444,is_a
GO:0045239,GO:0043234,is_a
GO:0043291,GO:0044444,is_a
GO:0043291,GO:0043234,is_a
GO:0043527,GO:0034708,is_a
GO:0043527,GO:0044444,is_a
GO:0034274,GO:0044444,is_a
GO:0034274,GO:0043234,is_a
GO:0034273,GO:0044444,is_a
GO:0034273,GO:0043234,is_a
GO:0034270,GO:0044444,is_a
GO:0034270,GO:0043234,is_a
GO:0033254,GO:0044444,is_a
GO:0033254,GO:0043234,is_a
GO:0044433,GO:0044444,is_a
GO:0044433,GO:0044446,is_a
GO:0031251,GO:0044444,is_a
GO:0031251,GO:0043234,is_a
GO:0043614,GO:0044444,is_a
GO:0043614,GO:0030529,is_a
GO:0035770,GO:0043232,is_a
GO:0035770,GO:0044444,is_a
GO:0035770,GO:0030529,is_a
GO:0030119,GO:0030117,part_of
GO:0030119,GO:0044444,is_a
GO:0030119,GO:0044425,is_a
GO:0030119,GO:0043234,is_a
GO:0030117,GO:0044444,is_a
GO:0030117,GO:0044425,is_a
GO:0030117,GO:0016020,part_of
GO:0030117,GO:0043234,is_a
GO:0018444,GO:0044444,is_a
GO:0018444,GO:0043234,is_a
GO:0017102,GO:0044444,is_a
GO:0017102,GO:0043234,is_a
GO:0016281,GO:0044444,is_a
GO:0016281,GO:0043234,is_a
GO:0016023,GO:0043231,is_a
GO:0016023,GO:0044444,is_a
GO:0016023,GO:0043229,is_a
GO:0009507,GO:0043231,is_a
GO:0009507,GO:0044444,is_a
GO:0009348,GO:0044444,is_a
GO:0009348,GO:0043234,is_a
GO:0009331,GO:0044444,is_a
GO:0009331,GO:0043234,is_a
GO:0009328,GO:0044444,is_a
GO:0009328,GO:0043234,is_a
GO:0005971,GO:0044444,is_a
GO:0005971,GO:0043234,is_a
GO:0005968,GO:0044444,is_a
GO:0005968,GO:0043234,is_a
GO:0005965,GO:0044444,is_a
GO:0005965,GO:0043234,is_a
GO:0005960,GO:0044444,is_a
GO:0005960,GO:0043234,is_a
GO:0005951,GO:0044444,is_a
GO:0005951,GO:0043234,is_a
GO:0005950,GO:0044444,is_a
GO:0005950,GO:0043234,is_a
GO:0005948,GO:0044444,is_a
GO:0005948,GO:0043234,is_a
GO:0005946,GO:0044444,is_a
GO:0005946,GO:0043234,is_a
GO:0044448,GO:0005938,part_of
GO:0044448,GO:0044444,is_a
GO:0005938,GO:0044444,is_a
GO:0005938,GO:0071944,part_of
GO:0005881,GO:0005874,is_a
GO:0005881,GO:0044444,is_a
